model,MAE,RMSE,R2,dataset
Linear Regression,4.878069742332925,6.179428683593611,0.5644827743804333,Original
Random Forest,3.1820490593602155,3.9965617465483203,0.8178279513012616,Original
Tuned XGBoost,3.140397587736548,3.9464461666953707,0.8223680620084504,Original
Linear Regression,4.838899972784043,6.126359648338754,0.5811775843416167,Cleaned
Random Forest,3.1235214079126585,3.9227236250915825,0.828288112364812,Cleaned
Tuned XGBoost,3.093140384940548,3.8930781579732097,0.8308736851915892,Cleaned
