feature,importance_mean,importance_std
Road_traffic_density,2.6888888275778795,0.014532011594829633
Weatherconditions,2.6547035835481045,0.03160173841745496
distance_km,2.4110931938122766,0.021725074027271342
Delivery_person_Age,1.838247461833289,0.036264130659348616
Delivery_person_Ratings,1.7267659489372575,0.04621545885980942
Vehicle_condition,1.43322165491841,0.03182783419197293
multiple_deliveries,0.6823388335299845,0.021779791231846528
Festival,0.2514516177145258,0.008322425937523758
City,0.09359158625359347,0.006526699213966113
order_hour,0.03129834509844809,0.002317360115254239
is_peak_hour,0.01680655764466028,0.0051231454789827215
Type_of_order,0.0004648653665253022,0.0014155912922733324
is_weekend,0.0,0.0
Type_of_vehicle,-0.00213960742577477,0.0006052964459640646
order_dayofweek,-0.0034035666808448716,0.001992106075326271
