model,MAE,RMSE,R2
Tuned XGBoost,3.140397587736548,3.9464461666953707,0.8223680620084504
XGBoost,3.144021886366869,3.9486017255531904,0.8221739629884212
Random Forest,3.1820490593602155,3.9965617465483203,0.8178279513012616
Linear Regression,4.878069742332925,6.179428683593611,0.5644827743804333
